SBA Physical Declaration Number,SBA EIDL Declaration Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content,Approved Amount EIDL,Year,State
11430,11431.0,TX-00308,BUNA,77612.0,JASPER,17962.0,15589.0,2373.0,14400.0,11700.0,2300.0,400.0,2008,Texas
11430,11431.0,TX-00308,CALL,75933.0,NEWTON,3217.0,1307.0,1910.0,0.0,0.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,CHANNELVIEW,77530.0,HARRIS,1473010.0,1450704.0,22306.0,225200.0,143100.0,13900.0,68200.0,2008,Texas
11430,11431.0,TX-00308,CHRYSTAL BEACH,77650.0,GALVESTON,83347.0,78107.0,5240.0,0.0,0.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,CLEAR LAKE SHORES,77565.0,GALVESTON,1425328.0,1011063.0,414265.0,24900.0,5900.0,14000.0,5000.0,2008,Texas
11430,11431.0,TX-00308,CLEVELAND,77327.0,LIBERTY,1621869.0,1321556.0,300313.0,1183700.0,953200.0,162700.0,67800.0,2008,Texas
11430,11431.0,TX-00308,CLEVELAND,77328.0,LIBERTY,10850.0,0.0,10850.0,0.0,0.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,CLUTE,77531.0,BRAZORIA,148937.0,134403.0,14534.0,17800.0,0.0,0.0,17800.0,2008,Texas
11430,11431.0,TX-00308,Clute,77531.0,BRAZORIA,0.0,0.0,0.0,27600.0,0.0,0.0,27600.0,2008,Texas
11430,11431.0,TX-00308,COLDSPRING,77331.0,SAN JACINTO,89678.0,85917.0,3761.0,28200.0,23900.0,3600.0,700.0,2008,Texas
11430,11431.0,TX-00308,coldspring,77331.0,SAN JACINTO,0.0,0.0,0.0,33600.0,0.0,0.0,33600.0,2008,Texas
11430,11431.0,TX-00308,CONROE,77301.0,GALVESTON,6021.0,3169.0,2852.0,0.0,0.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,CONROE,77304.0,GALVESTON,33350.0,32850.0,500.0,53900.0,16400.0,0.0,37500.0,2008,Texas
11430,11431.0,TX-00308,CONROE,77301.0,HARRIS,529.0,529.0,0.0,0.0,0.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,CONROE,77301.0,MONTGOMERY,580806.0,470723.0,110083.0,432900.0,291600.0,99400.0,41900.0,2008,Texas
11430,11431.0,TX-00308,CONROE,77302.0,MONTGOMERY,11941.0,9891.0,2050.0,0.0,0.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,CONROE,77303.0,MONTGOMERY,85423.0,68198.0,17225.0,70200.0,49800.0,16400.0,4000.0,2008,Texas
11430,11431.0,TX-00308,CONROE,77304.0,MONTGOMERY,378976.0,329366.0,49610.0,115900.0,41700.0,4400.0,69800.0,2008,Texas
11430,11431.0,TX-00308,CONROE,77306.0,MONTGOMERY,38332.0,36332.0,2000.0,0.0,0.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,CONROE,77384.0,MONTGOMERY,159309.0,150889.0,8420.0,5400.0,5400.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,CONROE,77385.0,MONTGOMERY,4941.0,3166.0,1775.0,17400.0,3200.0,0.0,14200.0,2008,Texas
11430,11431.0,TX-00308,Conroe,77301.0,MONTGOMERY,0.0,0.0,0.0,23200.0,0.0,0.0,23200.0,2008,Texas
11430,11431.0,TX-00308,Conroe,77304.0,MONTGOMERY,4864.0,2714.0,2150.0,21300.0,0.0,0.0,21300.0,2008,Texas
11430,11431.0,TX-00308,Conroe,77381.0,MONTGOMERY,0.0,0.0,0.0,5000.0,0.0,0.0,5000.0,2008,Texas
11430,11431.0,TX-00308,CROCKETT,75835.0,HOUSTON,34027.0,34027.0,0.0,0.0,0.0,0.0,0.0,2008,Texas
11430,11431.0,TX-00308,CROSBY,77532.0,HARRIS,697005.0,653640.0,43365.0,475800.0,335100.0,3000.0,137700.0,2008,Texas
